6,生物體內的恆定性與調節,2,恆定性
6,生物體內的恆定性與調節,3,呼吸作用與呼吸運動
6,生物體內的恆定性與調節,4,體溫的調節與恆定
6,生物體內的恆定性與調節,5,水分的恆定
6,生物體內的恆定性與調節,6,血糖的恆定
6,生物體內的恆定性與調節,7,廢物的排泄與調節
1,發現生命的驚奇,1,探究自然的方法
1,發現生命的驚奇,2,地球起源與生命的發生
1,發現生命的驚奇,3,生物圈
2,生物體的組成,1,細胞的發現與細胞學說
2,生物體的組成,2,細胞的構造
2,生物體的組成,3,物質進出細胞的方式
2,生物體的組成,4,生物體的組成層次
3,生物體與營養,1,食物中的養分與能量
3,生物體與營養,2,酵素
3,生物體與營養,3,植物如何製造養分
3,生物體與營養,4,動物如何獲得養分
4,生物體的運輸作用,1,植物的運輸構造
4,生物體的運輸作用,2,植物體內的物質運輸
4,生物體的運輸作用,3,動物體內的血液循環
4,生物體的運輸作用,4,動物體內的淋巴循環
5,生物體的協調作用,1,植物對環境的感應
5,生物體的協調作用,2,神經系統
5,生物體的協調作用,3,內分泌系統的運作
5,生物體的協調作用,4,動物行為
6,生物體內的恆定性與調節,1,生物體內的恆定性與調節
6,生物體內的恆定性與調節,2,恆定性
6,生物體內的恆定性與調節,3,呼吸作用與呼吸運動
6,生物體內的恆定性與調節,4,體溫的調節與恆定
6,生物體內的恆定性與調節,5,水分的恆定
6,生物體內的恆定性與調節,6,血糖的恆定
6,生物體內的恆定性與調節,7,廢物的排泄與調節
1,新生命的誕生,1,細胞的分裂
1,新生命的誕生,2,無性生殖
1,新生命的誕生,3,有性生殖
2,遺傳,1,孟德爾的遺傳法則
2,遺傳,2,基因與遺傳
2,遺傳,3,人類的遺傳
2,遺傳,4,突變
2,遺傳,5,生物科技
3,生命的演變,1,演化學說
3,生命的演變,2,演化的證據
3,生命的演變,3,生物的演化
4,形形色色的生物,1,生物的命名與分類
4,形形色色的生物,2,原核生物界
4,形形色色的生物,3,原生生物界
4,形形色色的生物,4,菌物界
4,形形色色的生物,5,植物界
4,形形色色的生物,6,動物界
5,生物與環境的交互作用,1,生態系的組成
5,生物與環境的交互作用,2,生物間的交互作用
5,生物與環境的交互作用,3,能量的流動與物質的循環
5,生物與環境的交互作用,4,認識生態系
6,人類與環境,1,人類對環境的衝擊
6,人類與環境,2,生物多樣性
6,人類與環境,3,生物的保育
1,發現生命的驚奇,1,探究自然的方法
1,發現生命的驚奇,2,生命的起源
1,發現生命的驚奇,3,生物圈
2,生物體的組成,1,細胞的發現與細胞學說
2,生物體的組成,2,細胞的構造
2,生物體的組成,3,物質進出細胞的方式
2,生物體的組成,4,生物體的組成層次
3,生物體與營養,1,食物中的養分與能量
3,生物體與營養,2,酵素
3,生物體與營養,3,植物如何製造養分
3,生物體與營養,4,動物如何獲得養分
4,生物體的運輸作用,1,植物的運輸構造
4,生物體的運輸作用,2,植物體內的物質運輸
4,生物體的運輸作用,3,動物體內的血液循環
4,生物體的運輸作用,4,動物體內的淋巴循環
5,生物體的協調作用,1,植物對環境的感應
5,生物體的協調作用,2,神經系統
5,生物體的協調作用,3,內分泌系統的運作
5,生物體的協調作用,4,動物行為
6,生物體內的恆定性與調節,1,生物體內的恆定性與調節
6,生物體內的恆定性與調節,2,恆定性
6,生物體內的恆定性與調節,3,呼吸作用與呼吸運動
6,生物體內的恆定性與調節,4,體溫的調節與恆定
6,生物體內的恆定性與調節,5,水分的恆定
6,生物體內的恆定性與調節,6,血糖的恆定
6,生物體內的恆定性與調節,7,廢物的排泄與調節
1,新生命的誕生,1,細胞的分裂
1,新生命的誕生,2,無性生殖
1,新生命的誕生,3,有性生殖
2,遺傳,1,孟德爾的遺傳法則
2,遺傳,2,基因與遺傳
2,遺傳,3,人類的遺傳
2,遺傳,4,突變
2,遺傳,5,生物科技
3,生命的演變,1,演化的理論
3,生命的演變,2,演化的證據
3,生命的演變,3,生物的演化
4,形形色色的生物,1,生物的命名與分類
4,形形色色的生物,2,原核生物界
4,形形色色的生物,3,原生生物界
4,形形色色的生物,4,菌物界
4,形形色色的生物,5,植物界
4,形形色色的生物,6,動物界
5,生物與環境的交互作用,1,生態系的組成
5,生物與環境的交互作用,2,生物間的交互作用
5,生物與環境的交互作用,3,能量的流動與物質的循環
5,生物與環境的交互作用,4,認識生態系
6,人類與環境,1,人類對環境的衝擊
6,人類與環境,2,生物多樣性
6,人類與環境,3,生物的保育
1,生命的發現,1,生命現象與生物圈
1,生命的發現,2,生物體的基本單位
1,生命的發現,3,細胞的形態與構造
2,組成生物體的層次與尺度,1,組成生命的物質
2,組成生物體的層次與尺度,2,生物體的組成層次
3,生物體的營養,1,食物中的養分
3,生物體的營養,2,酵素
3,生物體的營養,3,植物如何製造養分
3,生物體的營養,4,人體如何獲得養分
4,生物體內的運輸,1,植物中的運輸構造
4,生物體內的運輸,2,人體內的血液循環
4,生物體內的運輸,3,人體內的淋巴循環
5,生物體的協調作用,1,神經系統
5,生物體的協調作用,2,內分泌系統
5,生物體的協調作用,3,植物的感應
6,生物體內的恆定,1,呼吸與氣體的恆定
6,生物體內的恆定,2,血糖的恆定
6,生物體內的恆定,3,排泄與水分的恆定
6,生物體內的恆定,4,體溫的恆定
1,新生命的誕生,1,細胞的分裂
1,新生命的誕生,2,無性生殖
1,新生命的誕生,3,有性生殖
2,遺傳,1,孟德爾的遺傳法則
2,遺傳,2,基因與遺傳
2,遺傳,3,人類的遺傳
2,遺傳,4,突變
2,遺傳,5,生物技術
3,形形色色的生物,1,生物的命名與分類
3,形形色色的生物,2,原核生物界與原生生物界
3,形形色色的生物,3,菌物界
3,形形色色的生物,4,植物界
3,形形色色的生物,5,動物界
3,形形色色的生物,6,認識古代的生物
4,生物與環境的交互作用,1,生物與群集
4,生物與環境的交互作用,2,生物間的交互作用
4,生物與環境的交互作用,3,生態系的組成
4,生物與環境的交互作用,4,能量的流動與物質循環
4,生物與環境的交互作用,5,生態系的類型
5,人類與環境,1,人類與環境的關係
5,人類與環境,2,人類對環境的衝擊
5,人類與環境,3,生態保育的現在與未來
1,生命的發現,1,探究自然的方法
1,生命的發現,2,生命現象與生物圈
1,生命的發現,3,生物體的基本單位
1,生命的發現,4,細胞的形態與構造
2,組成生物體的層次與尺度,1,細胞的組成與物質進出方式
2,組成生物體的層次與尺度,2,生物體的組成層次
3,生物體的營養,1,食物中的養分
3,生物體的營養,2,酵素
3,生物體的營養,3,植物如何製造養分
3,生物體的營養,4,人體如何獲得養分
4,生物體內的運輸,1,植物中的運輸構造
4,生物體內的運輸,2,人體內的血液循環
4,生物體內的運輸,3,人體內的淋巴循環
5,生物體的協調作用,1,神經系統
5,生物體的協調作用,2,內分泌系統
5,生物體的協調作用,3,植物的感應
6,生物體內的恆定,1,呼吸與氣體的恆定
6,生物體內的恆定,2,血糖的恆定
6,生物體內的恆定,3,排泄與水分的恆定
6,生物體內的恆定,4,體溫的恆定
1,新生命的誕生,1,細胞的分裂
1,新生命的誕生,2,無性生殖
1,新生命的誕生,3,有性生殖
2,遺傳,1,孟德爾的遺傳法則
2,遺傳,2,基因與遺傳
2,遺傳,3,人類的遺傳
2,遺傳,4,突變
2,遺傳,5,生物技術
3,形形色色的生物,1,生物的命名與分類
3,形形色色的生物,2,原核生物界與原生生物界
3,形形色色的生物,3,菌物界
3,形形色色的生物,4,植物界
3,形形色色的生物,5,動物界
3,形形色色的生物,6,認識古代的生物
4,生物與環境的交互作用,1,生物與群集
4,生物與環境的交互作用,2,生物間的交互作用
4,生物與環境的交互作用,3,生態系的組成
4,生物與環境的交互作用,4,能量的流動與物質循環
4,生物與環境的交互作用,5,生態系的類型
5,人類與環境,1,人類與環境的關係
5,人類與環境,2,人類對環境的衝擊
5,人類與環境,3,生態保育的現在與未來
